inches,seconds,counts,,,,,,,
0,60,2187,,,,,,,
0.02,60,1273,,,,,,,
0.025,60,1198,,,,,,,
0.032,60,995,,,,,,,
0.04,60,759,,,,,,,
0.05,60,564,,,,,,,
0.063,60,334,,,,,,,
0.08,180,400,,,,,,,
0.09,180,248,,,,,,,
0.1,300,275,,,,,,,
0.125,500,142,,,,,,,
background,300,49,,,,,,,
"aluminum, green",,,,,,,,,
,,,,,,,,,
,,Time,,,,,,,
,,60s,180s,300s,500s,,,,
Absorber,0in,2187 counts,,,,,,,
,Aluminum 0.020in,1273 counts,,,,,,,
,Aluminum 0.025in,1198 counts,,,,,,,
,Aluminum 0.032in,995 counts,,,,,,,
,Aluminum 0.040in,759 counts,,,,,,,
,Aluminum 0.050in,564 counts,,,,,,,
,Aluminum 0.063in,334 counts,,,,,,,
,Aluminum 0.080in,,400 counts,,,,,,
,Aluminum 0.090in,,248 counts,,,,,,
,Aluminum 0.10in,,,275 counts,,,,,
,Aluminum 0.125in,,,,142 counts,,,,
,,,,,,,background,300,49
,,,,,,,,,
Background:,300s,,,,,,,,
,49 counts,,,,,,,,
